STAT,STAT,bottom 10%,bottom 25%,bottom 33%,50/50,top 34%,top 25%,top 10%
charisma,academics,1,2,2,3,4,4,5
charisma,animal_ken,1,1,2,2,3,4,4
charisma,athletics,1,2,2,3,4,4,5
charisma,awareness,2,2,2,3,4,5,6
charisma,brawl,1,2,2,3,4,4,5
charisma,craft,1,1,2,2,3,3,4
charisma,driving,2,2,2,3,3,3,4
charisma,etiquette,1,2,2,2,3,3,5
charisma,finance,1,2,2,3,3,4,5
charisma,firearms,3,4,4,5,5,6,6
charisma,insight,3,3,4,5,5,6,7
charisma,intimidation,1,2,2,3,4,4,5
charisma,investigation,3,4,4,5,6,6,7
charisma,larceny,1,2,2,2,3,3,4
charisma,leadership,2,3,3,3,4,5,6
charisma,medicine,1,2,2,3,3,4,5
charisma,melee,1,2,2,3,3,3,4
charisma,occult,2,2,2,3,4,4,5
charisma,performance,1,2,2,3,4,4,5
charisma,persuasion,2,3,3,4,5,6,7
charisma,politics,1,2,2,3,4,4,5
charisma,science,1,2,2,3,4,4,6
charisma,stealth,1,2,2,3,4,4,5
charisma,streetwise,1,2,3,3,4,4,5
charisma,subterfuge,2,2,3,4,4,5,6
charisma,survival,1,2,2,3,3,4,4
charisma,technology,1,2,2,3,4,4,5
composure,academics,2,2,3,3,4,4,6
composure,animal_ken,2,2,2,3,3,3,5
composure,athletics,2,3,3,3,4,4,5
composure,awareness,3,3,3,4,4,5,5
composure,brawl,2,3,3,3,3,4,6
composure,craft,2,2,2,3,3,3,3
composure,driving,2,3,3,3,4,4,4
composure,etiquette,2,2,3,3,3,3,4
composure,finance,2,3,3,3,4,4,5
composure,firearms,4,5,5,5,5,5,6
composure,insight,3,4,4,5,6,6,6
composure,intimidation,2,3,3,3,4,4,5
composure,investigation,3,4,5,5,6,6,7
composure,larceny,2,2,3,3,3,3,4
composure,leadership,2,3,3,4,5,5,6
composure,medicine,2,2,3,3,3,3,5
composure,melee,2,3,3,3,3,3,4
composure,occult,2,3,3,3,4,4,5
