STAT,bottom 10%,bottom 25%,bottom 33%,50/50,top 34%,top 25%,top 10%
academics,0,0,0,0,1,2,3
agora_exposure,0,0,0,0,0,0,0
agreeable,47,48,49,50,51,52,54
agreeableness,50,50,50,50,50,50,50
anarch_cohesion,0,0,0,0,0,0,0
animal_ken,0,0,0,0,0,0,1
annis_flirts,0,0,0,0,0,0,0
annis_like,0,0,0,0,0,0,0
annis_romance,0,0,0,0,0,0,0
athletics,0,0,0,0,1,1,3
awareness,0,1,1,1,2,2,2
brawl,0,0,0,0,1,2,3
camarilla_cohesion,0,0,0,0,0,0,0
camarilla_leverage,0,0,0,0,0,0,0
charisma,1,1,2,2,3,3,4
claudia_like,0,0,0,0,0,0,0
composure,2,2,2,3,3,3,3
conscientious,44,46,47,49,51,51,55
conscientiousness,50,50,50,50,50,50,50
craft,0,0,0,0,0,0,0
current_chapter,1,1,1,1,1,1,1
dc_x_id,1,2,2,3,3,3,3
dc_xid,3,3,3,3,3,3,3
debug_level,2,2,2,2,2,2,2
dexterity,2,2,2,2,3,3,3
driving,0,0,0,1,1,1,2
dutiful_child_like,50,50,50,50,50,50,50
dutiful_child_savvy,0,0,0,0,0,0,0
emotional,46,50,50,52,53,54,56
emotionality,50,50,50,50,50,50,50
etiquette,0,0,0,0,0,1,1
ev_early_pre_bureau_career,1,1,1,1,1,1,1
ev_education_level,2,3,3,4,4,4,5
ev_employment_status,2,2,2,2,2,2,2
ev_graduate_degree,1,1,1,1,1,1,5
ev_pre_bureau_career,1,2,2,4,7,8,9
ev_pre_SAD_assignment,3,5,5,7,9,9,13
ev_undergraduate_awards,1,2,2,3,5,5,6
ev_undergraduate_major,1,2,2,4,5,6,7
ev_undergraduate_minor,1,1,1,2,3,4,6
ex_x_id,1,1,1,2,2,3,3
ex_xid,3,3,3,3,3,3,3
extraversion,50,50,50,50,50,50,50
extraverted,49,50,50,50,51,51,52
f_all_flirts,0,0,0,0,0,2,2
f_all_romance,0,0,0,0,0,0,0
f_biggest_crush,0,0,0,0,0,1,1
f_maxcrush,0,0,0,0,0,2,2
finance,0,0,0,0,1,1,2
firearms,2,2,2,2,2,3,4
gabriel_like,50,50,50,50,50,50,50
health,5,5,5,5,5,6,6
heat,0,0,0,0,0,0,0
honest_humble,49,50,50,51,52,52,54
honesty_humility,50,50,50,50,50,50,50
hunter_cohesion,0,0,0,0,0,0,0
hunter_philosophy,0,0,0,0,0,0,0
insight,1,2,2,2,3,3,4
intel,0,0,0,0,0,0,0
intelligence,2,2,2,3,3,3,4
intimidation,0,0,0,1,1,1,2
investigation,1,2,2,3,4,4,4
jeffries_like,50,50,50,50,50,50,50
journo_alliegances,0,0,0,0,0,0,0
journo_investigations,0,0,0,0,0,0,0
jrn_x_id,3,3,3,3,3,3,3
jrn_xid,3,3,3,3,3,3,3
larceny,0,0,0,0,0,0,1
leadership,0,1,1,2,2,2,3
lior_flirts,0,0,0,0,0,0,0
lior_like,0,0,0,0,0,0,0
lior_romance,0,0,0,0,0,0,0
manipulation,2,2,2,2,2,3,3
max_health,5,5,5,5,5,6,6
max_willpower,4,5,5,6,6,6,7
medicine,0,0,0,0,0,1,2
melee,0,0,0,0,0,1,2
mo_like,0,0,0,0,0,0,0
mv_academics_altered,0,0,0,0,0,0,0
mv_academics_tested,0,0,0,0,0,0,0
mv_agora_exposure_altered,0,0,0,0,0,0,0
mv_agora_exposure_tested,0,0,0,0,0,0,0
mv_agreeable_altered,2,2,2,3,3,3,3
mv_agreeable_tested,0,0,0,0,0,0,0
mv_agreeableness_altered,0,0,0,0,0,0,0
mv_agreeableness_tested,0,0,0,0,0,0,0
mv_anarch_cohesion_altered,0,0,0,0,0,0,0
mv_anarch_cohesion_tested,0,0,0,0,0,0,0
mv_animal_ken_altered,0,0,0,0,0,0,0
mv_animal_ken_tested,0,0,0,0,0,0,0
mv_annis_flirts_altered,0,0,0,0,0,0,0
mv_annis_flirts_tested,0,0,0,0,0,0,0
mv_annis_like_altered,0,0,0,0,0,0,0
mv_annis_like_tested,0,0,0,0,0,0,0
mv_annis_romance_altered,0,0,0,0,0,0,0
mv_annis_romance_tested,0,0,0,0,0,0,0
mv_athletics_altered,0,0,0,0,0,0,0
mv_athletics_tested,0,0,0,0,0,0,0
mv_awareness_altered,0,0,0,0,0,0,0
mv_awareness_tested,0,0,0,0,0,0,0
mv_brawl_altered,0,0,0,0,0,0,0
mv_brawl_tested,0,0,0,0,0,0,0
mv_camarilla_cohesion_altered,0,0,0,0,0,0,0
mv_camarilla_cohesion_tested,0,0,0,0,0,0,0
mv_camarilla_leverage_altered,0,0,0,0,0,0,0
mv_camarilla_leverage_tested,0,0,0,0,0,0,0
mv_charisma_altered,0,0,0,0,0,0,0
mv_charisma_tested,0,0,0,0,0,0,0
mv_claudia_like_altered,0,0,0,0,0,0,0
mv_claudia_like_tested,0,0,0,0,0,0,0
mv_composure_altered,0,0,0,0,0,0,0
mv_composure_tested,0,0,0,0,0,0,0
mv_conscientious_altered,1,2,2,2,2,2,2
mv_conscientious_tested,0,0,0,0,0,0,0
mv_conscientiousness_altered,0,0,0,0,0,0,0
mv_conscientiousness_tested,0,0,0,0,0,0,0
mv_craft_altered,0,0,0,0,0,0,0
mv_craft_tested,0,0,0,0,0,0,0
mv_current_chapter_altered,0,0,0,0,0,0,0
mv_current_chapter_tested,0,0,0,0,0,0,0
mv_dc_xid_altered,0,0,0,0,0,0,0
mv_dc_xid_tested,0,0,0,0,0,0,0
mv_dexterity_altered,0,0,0,0,0,0,0
mv_dexterity_tested,0,0,0,0,0,0,0
mv_driving_altered,0,0,0,0,0,0,0
mv_driving_tested,0,0,0,0,0,0,0
mv_dutiful_child_like_altered,0,0,0,0,0,0,0
mv_dutiful_child_like_tested,0,0,0,0,0,0,0
mv_dutiful_child_savvy_altered,0,0,0,0,0,0,0
mv_dutiful_child_savvy_tested,0,0,0,0,0,0,0
mv_emotional_altered,2,2,2,3,3,3,3
mv_emotional_tested,0,0,0,0,0,0,0
mv_emotionality_altered,0,0,0,0,0,0,0
mv_emotionality_tested,0,0,0,0,0,0,0
mv_etiquette_altered,0,0,0,0,0,0,0
mv_etiquette_tested,0,0,0,0,0,0,0
mv_ex_xid_altered,0,0,0,0,0,0,0
mv_ex_xid_tested,0,0,0,0,0,0,0
mv_extraversion_altered,0,0,0,0,0,0,0
mv_extraversion_tested,0,0,0,0,0,0,0
mv_extraverted_altered,0,0,0,1,1,1,1
mv_extraverted_tested,0,0,0,0,0,0,0
mv_finance_altered,0,0,0,0,0,0,0
mv_finance_tested,0,0,0,0,0,0,0
mv_firearms_altered,0,0,0,0,0,0,0
mv_firearms_tested,0,0,0,0,0,0,0
mv_gabriel_like_altered,0,0,0,0,0,0,0
mv_gabriel_like_tested,0,0,0,0,0,0,0
mv_health_altered,0,0,0,0,0,0,0
mv_health_tested,0,0,0,0,0,0,0
mv_heat_altered,0,0,0,0,0,0,0
mv_heat_tested,0,0,0,0,0,0,0
mv_honest_humble_altered,0,1,1,1,1,2,2
mv_honest_humble_tested,0,0,0,0,0,0,0
mv_honesty_humility_altered,0,0,0,0,0,0,0
mv_honesty_humility_tested,0,0,0,0,0,0,0
mv_hunter_cohesion_altered,0,0,0,0,0,0,0
mv_hunter_cohesion_tested,0,0,0,0,0,0,0
mv_hunter_philosophy_altered,0,0,0,0,0,0,0
mv_hunter_philosophy_tested,0,0,0,0,0,0,0
mv_insight_altered,0,0,0,0,0,0,0
mv_insight_tested,0,0,0,0,0,0,0
mv_intel_altered,0,0,0,0,0,0,0
mv_intel_tested,0,0,0,0,0,0,0
mv_intelligence_altered,0,0,0,0,0,0,0
mv_intelligence_tested,0,0,0,0,0,0,0
mv_intimidation_altered,0,0,0,0,0,0,0
mv_intimidation_tested,0,0,0,0,0,0,0
mv_investigation_altered,0,0,0,0,0,0,0
mv_investigation_tested,0,0,0,0,0,0,0
mv_jeffries_like_altered,0,0,0,0,0,0,0
mv_jeffries_like_tested,0,0,0,0,0,0,0
mv_journo_alliegances_altered,0,0,0,0,0,0,0
mv_journo_alliegances_tested,0,0,0,0,0,0,0
mv_journo_investigations_altered,0,0,0,0,0,0,0
mv_journo_investigations_tested,0,0,0,0,0,0,0
mv_jrn_xid_altered,0,0,0,0,0,0,0
mv_jrn_xid_tested,0,0,0,0,0,0,0
mv_larceny_altered,0,0,0,0,0,0,0
mv_larceny_tested,0,0,0,0,0,0,0
mv_leadership_altered,0,0,0,0,0,0,0
mv_leadership_tested,0,0,0,0,0,0,0
mv_lior_flirts_altered,0,0,0,0,0,0,0
mv_lior_flirts_tested,0,0,0,0,0,0,0
mv_lior_like_altered,0,0,0,0,0,0,0
mv_lior_like_tested,0,0,0,0,0,0,0
mv_lior_romance_altered,0,0,0,0,0,0,0
mv_lior_romance_tested,0,0,0,0,0,0,0
mv_manipulation_altered,0,0,0,0,0,0,0
mv_manipulation_tested,0,0,0,0,0,0,0
mv_max_health_altered,0,0,0,0,0,0,0
mv_max_health_tested,0,0,0,0,0,0,0
mv_max_willpower_altered,0,0,0,0,0,0,0
mv_max_willpower_tested,0,0,0,0,0,0,0
mv_medicine_altered,0,0,0,0,0,0,0
mv_medicine_tested,0,0,0,0,0,0,0
mv_melee_altered,0,0,0,0,0,0,0
mv_melee_tested,0,0,0,0,0,0,0
mv_mo_like_altered,0,0,0,0,0,0,0
mv_mo_like_tested,0,0,0,0,0,0,0
mv_ngonnen_flirts_altered,0,0,0,0,0,0,0
mv_ngonnen_flirts_tested,0,0,0,0,0,0,0
mv_ngonnen_like_altered,0,0,0,0,0,0,0
mv_ngonnen_like_tested,0,0,0,0,0,0,0
mv_ngonnen_romance_altered,0,0,0,0,0,0,0
mv_ngonnen_romance_tested,0,0,0,0,0,0,0
mv_occult_altered,0,0,0,0,0,0,0
mv_occult_tested,0,0,0,0,0,0,0
