STAT,STAT,bottom 10%,bottom 25%,bottom 33%,50/50,top 34%,top 25%,top 10%
adventurous,attachment_to_dad,100,105,107,111,115,117,121
adventurous,attachment_to_isaiah,95,100,102,105,108,110,114
adventurous,attachment_to_jade,95,100,102,106,109,110,114
adventurous,attachment_to_luna,97,103,105,109,112,114,118
adventurous,attachment_to_raven,102,108,110,114,117,120,124
adventurous,attachment_to_sarah,100,106,108,113,117,119,124
agreeable,attachment_to_dad,89,95,98,102,106,109,115
agreeable,attachment_to_isaiah,86,90,92,96,99,102,107
agreeable,attachment_to_jade,86,90,92,96,100,102,107
agreeable,attachment_to_luna,89,93,96,99,103,106,111
agreeable,attachment_to_raven,93,99,101,105,109,111,117
agreeable,attachment_to_sarah,91,96,99,103,108,111,117
confrontational,attachment_to_dad,100,106,109,113,116,119,124
confrontational,attachment_to_isai,95,101,103,107,110,112,116
confrontational,attachment_to_jade,95,101,103,107,110,112,116
confrontational,attachment_to_luna,98,104,106,110,114,116,121
confrontational,attachment_to_rave,103,109,111,115,119,121,126
confrontational,attachment_to_sara,101,108,110,114,118,121,126
dutiful,attachment_to_dad,92,97,99,103,107,110,116
dutiful,attachment_to_isaiah,89,93,94,97,101,103,108
dutiful,attachment_to_jade,89,93,94,97,101,103,108
dutiful,attachment_to_luna,92,95,97,101,104,107,111
dutiful,attachment_to_raven,96,101,103,106,110,112,117
dutiful,attachment_to_sarah,94,99,101,105,109,112,117
hopeful,attachment_to_dad,87,92,94,98,101,104,110
hopeful,attachment_to_isaiah,84,87,89,91,95,97,102
hopeful,attachment_to_jade,84,87,89,91,95,97,102
hopeful,attachment_to_luna,87,90,92,95,98,100,106
hopeful,attachment_to_raven,90,95,97,100,104,106,112
hopeful,attachment_to_sarah,88,94,96,100,103,106,111
mental,academics,46,55,58,63,69,72,80
mental,animal_ken,37,43,47,52,56,59,65
mental,athletics,39,46,49,53,58,61,67
mental,awareness,46,53,56,62,67,71,78
mental,brawl,42,48,51,56,61,63,71
mental,insight,53,61,64,71,76,80,88
mental,intimidation,46,53,56,62,67,70,77
mental,investigation,53,61,64,70,74,78,85
mental,leadership,43,49,52,57,62,65,72
mental,occult,43,51,54,59,64,68,74
mental,persuasion,45,52,55,60,65,68,74
mental,stealth,42,49,52,57,62,64,71
mental,subterfuge,40,47,51,56,62,65,72
mental,survival,39,46,49,54,59,62,68
physical,academics,43,50,53,59,63,67,73
physical,animal_ken,33,39,42,46,51,53,59
physical,athletics,36,41,44,48,53,56,61
physical,awareness,41,49,52,57,62,65,73
physical,brawl,36,42,46,51,56,59,67
physical,insight,49,57,60,66,71,74,81
physical,intimidation,40,48,51,57,62,65,72
physical,investigation,48,56,59,64,69,73,80
physical,leadership,39,45,47,52,56,59,65
physical,occult,40,46,49,54,59,62,69
physical,persuasion,42,48,51,55,59,62,67
physical,stealth,33,42,46,52,58,62,69
physical,subterfuge,37,44,46,51,56,58,65
physical,survival,35,41,44,49,53,56,62
practical,attachment_to_dad,99,106,108,113,116,119,124
practical,attachment_to_isaiah,95,101,103,107,110,111,115
practical,attachment_to_jade,95,101,103,107,110,111,115
practical,attachment_to_luna,99,104,106,110,113,115,120
practical,attachment_to_raven,104,109,111,115,119,121,125
practical,attachment_to_sarah,101,107,110,114,118,121,126
social,academics,45,51,54,60,65,68,75
social,animal_ken,33,40,43,48,52,55,62
social,athletics,36,42,44,50,54,57,64
social,awareness,42,50,53,58,63,67,74
social,brawl,37,44,47,52,58,61,68
social,insight,51,58,62,67,73,76,83
social,intimidation,42,50,53,58,63,66,73
social,investigation,49,56,60,66,71,74,82
social,leadership,39,45,48,54,58,61,69
social,occult,40,47,50,55,60,63,70
social,persuasion,38,47,50,56,62,66,75
social,stealth,39,46,49,53,58,61,67
social,subterfuge,39,45,48,53,57,60,66
social,survival,36,43,45,50,55,58,65
spiritual,attachment_to_dad,91,96,98,102,106,108,114
spiritual,attachment_to_isaiah,87,91,93,96,99,102,107
spiritual,attachment_to_jade,87,91,93,96,99,102,107
spiritual,attachment_to_luna,90,94,96,99,103,105,111
spiritual,attachment_to_raven,95,99,101,105,108,111,116
spiritual,attachment_to_sarah,93,98,100,104,108,110,116
wary,attachment_to_dad,105,111,113,117,120,122,126
wary,attachment_to_isaiah,101,106,108,111,114,115,118
wary,attachment_to_jade,101,106,108,111,114,115,119
wary,attachment_to_luna,104,109,111,114,117,119,123
wary,attachment_to_raven,110,114,116,119,122,124,128
wary,attachment_to_sarah,106,112,114,118,122,124,129
generated on,Wed Apr 22 18:35:32 CEST 2026
