STAT,bottom 10%,bottom 25%,bottom 33%,50/50,top 34%,top 25%,top 10%
mental,academics,45,52,54,60,64,67,74
mental,animal_ken,36,43,44,49,56,58,65
mental,athletics,45,47,51,53,57,59,66
mental,awareness,42,47,50,58,64,70,77
mental,brawl,45,48,48,51,55,56,61
mental,insight,42,49,54,60,69,74,80
mental,intimidation,45,51,53,56,60,61,66
mental,investigation,51,58,60,65,70,73,79
mental,leadership,43,45,49,53,59,62,68
mental,occult,42,46,49,53,58,61,67
mental,persuasion,41,45,50,56,63,69,75
mental,stealth,43,53,54,60,62,65,71
mental,subterfuge,46,52,53,58,61,65,71
mental,survival,45,45,47,51,53,56,61
physical,academics,46,49,50,57,67,73,77
physical,animal_ken,37,40,44,47,56,59,64
physical,athletics,37,40,40,50,63,70,74
physical,awareness,38,48,54,62,64,66,73
physical,brawl,37,37,40,46,58,71,76
physical,insight,49,54,57,61,64,67,73
physical,intimidation,37,40,44,50,63,73,84
physical,investigation,43,50,56,63,73,81,91
physical,leadership,40,46,46,53,59,64,73
physical,occult,37,44,46,54,59,64,70
physical,persuasion,40,49,53,57,63,64,69
physical,stealth,42,46,52,57,64,68,81
physical,subterfuge,37,46,49,54,64,72,79
physical,survival,37,37,40,47,60,68,73
social,academics,47,55,57,62,67,70,77
social,animal_ken,38,45,47,53,59,63,68
social,athletics,46,50,53,56,61,63,70
social,awareness,41,48,53,61,68,73,80
social,brawl,44,50,50,56,58,61,65
social,insight,42,50,56,64,72,78,85
social,intimidation,47,53,55,58,62,65,71
social,investigation,52,60,62,68,73,76,84
social,leadership,41,47,51,56,63,65,73
social,occult,41,48,53,56,61,64,70
social,persuasion,38,47,50,59,68,73,81
social,stealth,46,55,57,62,65,68,75
social,subterfuge,48,54,56,61,64,67,73
social,survival,44,47,50,54,57,60,65
generated on,Wed Apr 30 17:12:37 EDT 2025
